,放大倍数,熔覆层组织面积占比(%),析出相/碳化物面积占比(%),气孔孔隙率(%),微裂纹面积占比(%),熔覆层平均晶粒尺寸(μm),基体稀释率(%),熔覆层组织面积占比(%)
放大倍数,1.0,-0.03205754857352093,-0.1473514126972269,0.2877373243448252,-0.20166939346023088,0.6879395818728066,-0.043542482502038016,-0.03205754857352093
熔覆层组织面积占比(%),-0.03205754857352093,1.0,-0.43928654177783955,0.2991229937226706,-0.0558721827524549,0.09355853683517372,-0.808769917517666,1.0
析出相/碳化物面积占比(%),-0.1473514126972269,-0.43928654177783955,1.0,-0.3495436575404896,0.06269631472956812,-0.11085128426220119,0.14495581247382866,-0.43928654177784043
气孔孔隙率(%),0.2877373243448252,0.2991229937226706,-0.3495436575404896,1.0,-0.12717106979988121,0.2902200155604776,-0.656433046741201,0.2991229937226709
微裂纹面积占比(%),-0.20166939346023088,-0.0558721827524549,0.06269631472956812,-0.12717106979988121,1.0,-0.47599909285381364,-0.08138925518575316,-0.05587218275245522
熔覆层平均晶粒尺寸(μm),0.6879395818728066,0.09355853683517372,-0.11085128426220119,0.2902200155604776,-0.47599909285381364,1.0,-0.11554507978593412,0.09355853683517432
基体稀释率(%),-0.043542482502038016,-0.808769917517666,0.14495581247382866,-0.656433046741201,-0.08138925518575316,-0.11554507978593412,1.0,-0.8087699175176668
熔覆层组织面积占比(%),-0.03205754857352093,1.0,-0.43928654177784043,0.2991229937226709,-0.05587218275245522,0.09355853683517432,-0.8087699175176668,1.0
