模型,R²,MAE,RMSE
RFR,0.9586965428033737,0.05940634605623872,0.14679071900428708
XGBoost,0.9999992171229833,0.0004338068280903075,0.0006390754979839409
GBDT,0.9999999999999997,1.0534780032449881e-08,1.3912313827170759e-08
KNN,1.0,0.0,0.0
Ensemble,0.9962718389125528,0.01782053446727692,0.044101435910374714
