100000	46.56963	11.41854
79432.82	46.32384	8.967885
63095.73	45.90667	6.911961
50118.72	45.69819	5.352283
39810.72	45.81233	4.20926
31622.78	45.53487	3.194279
25118.87	45.63203	2.357602
19952.62	45.52969	1.868096
15848.93	45.53968	1.379883
12589.25	45.55887	0.6120592
10000	45.59842	0.4416781
7943.282	45.70751	0.2045841
6309.573	46.11381	-0.4268844
5011.873	45.95415	-0.5104376
3981.072	46.3872	-1.04552
3162.278	46.25996	-1.444508
2511.886	46.30818	-2.183563
1995.262	46.48417	-2.298322
1584.893	46.71522	-2.910198
1258.925	46.94001	-3.596146
1000	47.25653	-4.292584
794.3282	47.58423	-5.132133
630.9573	48.07726	-6.214207
501.1872	48.63683	-7.372759
398.1072	49.25233	-8.661657
316.2278	50.05092	-10.28454
251.1886	50.8292	-12.38096
199.5262	51.77672	-14.49169
158.4893	53.08992	-17.07581
125.8925	54.46831	-20.20309
100	56.09249	-24.17375
79.43282	57.94602	-28.56586
63.09573	60.51228	-33.45982
50.11872	63.48648	-39.52657
39.81072	66.68719	-47.77518
31.62278	70.99146	-55.65745
25.11886	76.60746	-66.32194
19.95262	83.61613	-79.29559
15.84893	92.09579	-92.35803
12.58925	102.8059	-108.6733
10	116.098	-126.5024
7.943282	133.3596	-146.9096
6.309574	154.6307	-168.9387
5.011872	180.8844	-192.0737
3.981072	213.4558	-215.4719
3.162278	253.152	-238.6519
2.511886	296.6929	-256.1516
1.995262	346.307	-269.7017
1.584893	399.4472	-276.7842
1.258925	455.5697	-275.2308
1	506.6624	-267.0388
0.7943282	555.687	-250.8638
0.6309574	599.056	-229.847
0.5011872	634.8124	-204.4349
0.3981072	665.395	-176.9166
0.3162278	686.7654	-150.395
0.2511886	719.3272	-128.3777
0.1995262	733.2749	-106.334
0.1584893	747.3027	-87.75901
0.1258925	758.3223	-71.81508
0.1	768.9839	-61.0472
0.07943282	765.9572	-54.75016
0.06309573	789.5759	-45.51054
0.05011872	695.158	-36.00405
0.03981072	684.4657	-31.28591
0.03162277	671.4345	-31.74233
0.02511887	653.5685	-31.56661
0.01995262	651.4045	-31.55331
0.01584893	730.844	-42.29016
0.01258925	927.7523	-46.21124
0.01	1383.885	-56.88189
