"样品编号","3"
"加载载荷","500"
"试验时间","10"
"运行速度","300"
"运行长度","5"
"旋转半径","3"
"扫描长度","4"
"采样频率","1"
"年","2026"
"月","4"
"日","23"
"载荷范围控制参数","1"
"运行方式控制参数","0"
"摩系量程控制参数","0"
363.75,.083
364.687,.083
365.625,.085
366.562,.081
367.5,.082
368.437,.083
369.375,.082
370.312,.084
371.25,.08
372.187,.082
373.125,.084
374.062,.082
375,.083
375.937,.085
376.875,.081
377.812,.082
378.75,.081
379.687,.079
380.625,.08
381.562,.079
382.5,.079
383.437,.081
384.375,.079
385.312,.083
386.25,.084
387.187,.083
388.125,.083
389.062,.083
390,.085
390.937,.086
391.875,.083
392.812,.086
393.75,.086
394.687,.086
395.625,.089
396.562,.088
397.5,.089
398.437,.09
399.375,.088
400.312,.089
401.25,.09
402.187,.089
403.125,.089
404.062,.088
405,.089
405.937,.092
406.875,.091
407.812,.09
408.75,.093
409.687,.093
410.625,.103
411.562,.095
412.5,.09
413.437,.097
414.375,.171
415.312,.164
416.25,.165
417.187,.16
418.125,.161
419.062,.159
420,.157
420.937,.158
421.875,.15
422.812,.146
423.75,.144
424.687,.137
425.625,.137
426.562,.133
427.5,.129
428.437,.132
429.375,.127
430.312,.128
431.25,.124
432.187,.119
433.125,.121
434.062,.122
435,.116
435.937,.119
436.875,.117
437.812,.114
438.75,.117
439.687,.114
440.625,.116
441.562,.117
442.5,.112
443.437,.115
444.375,.114
445.312,.113
446.25,.116
447.187,.114
448.125,.114
449.062,.115
450,.109
450.937,.114
451.875,.111
452.812,.111
453.75,.117
454.687,.116
455.625,.116
456.562,.116
457.5,.112
458.437,.119
459.375,.117
460.312,.117
461.25,.12
462.187,.117
463.125,.116
464.062,.116
465,.113
465.937,.115
466.875,.112
467.812,.108
468.75,.114
469.687,.113
470.625,.11
471.562,.11
472.5,.107
473.437,.114
474.375,.112
475.312,.109
476.25,.114
477.187,.112
478.125,.111
479.062,.113
480,.114
480.937,.115
481.875,.116
482.812,.116
483.75,.12
484.687,.116
485.625,.113
486.562,.119
487.5,.115
488.437,.113
489.375,.114
490.312,.11
491.25,.114
492.187,.114
493.125,.115
494.062,.118
495,.115
495.937,.116
496.875,.12
497.812,.117
498.75,.119
499.687,.122
500.625,.12
501.562,.124
502.5,.12
503.437,.122
504.375,.127
505.312,.129
506.25,.128
507.187,.132
508.125,.125
509.062,.127
510,.124
510.937,.123
511.875,.125
512.812,.122
513.75,.123
514.687,.124
515.625,.122
516.562,.124
517.5,.121
518.437,.118
519.375,.118
520.312,.117
521.25,.117
522.187,.121
523.125,.119
524.062,.122
525,.122
525.937,.12
526.875,.122
527.812,.117
528.75,.116
529.687,.119
530.625,.113
531.562,.117
532.5,.118
533.437,.117
534.375,.125
535.312,.126
536.25,.122
537.187,.12
538.125,.116
539.062,.122
540,.126
540.937,.117
541.875,.126
542.812,.123
543.75,.12
544.687,.124
545.625,.122
546.562,.122
547.5,.124
548.437,.123
549.375,.127
550.312,.129
551.25,.126
552.187,.132
553.125,.126
554.062,.129
555,.129
555.937,.127
556.875,.13
557.812,.132
558.75,.128
559.687,.133
560.625,.13
561.562,.126
562.5,.13
563.437,.13
564.375,.13
565.312,.128
566.25,.13
567.187,.136
568.125,.133
569.062,.13
570,.135
570.937,.129
571.875,.132
572.812,.131
573.75,.131
574.687,.133
575.625,.132
576.562,.135
577.5,.139
578.437,.134
579.375,.133
580.312,.137
581.25,.134
582.187,.139
583.125,.139
584.062,.135
585,.136
585.937,.136
586.875,.136
587.812,.135
588.75,.131
589.687,.137
590.625,.14
591.562,.138
592.5,.139
593.437,.139
594.375,.142
595.312,.142
596.25,.14
597.187,.143
598.125,.141
599.062,.138
600,.14
