模型,R²,MAE,RMSE
RFR,0.958827849883837,0.05967700110117123,0.1465572033933491
XGBoost,0.9999932636035501,0.0014095262799942126,0.0018746457627427137
GBDT,0.9999999993315317,7.408354002004712e-06,1.8674362533285677e-05
KNN,1.0,0.0,0.0
Ensemble,0.9962413913797378,0.017729106490757398,0.044281155809189725
