PDF#65-7988: QM=Calculated; d=Calculated; I=(Unknown)
Gallium Nickel
Ga0.3Ni0.7	
Radiation=CuKa1	Lambda=1.5406	Filter=
Calibration=	2T=43.620-147.189	I/Ic(RIR)=8.19
Ref: Calculated from FIZ#0 (ICSD @03/03/26) by Jade 6.x

Cubic,  Fm-3m(225)	Z=4	mp=
CELL: 3.591 x 3.591 x 3.591 <90.0 x 90.0 x 90.0>	P.S=
Density(c)=8.893	Density(m)=	Mwt=	Vol=46.3	
Ref: Ibid.

Strong Lines: 2.07/X  1.80/4  1.27/2  1.08/2  0.82/1  0.80/1

2-Theta    d(?)   I(f)  ( h k l)   Theta  1/(2d)   2pi/d  n^2  
 43.620  2.0733  100.0  ( 1 1 1)  21.810  0.2412  3.0306    3
 50.809  1.7955   42.7  ( 2 0 0)  25.404  0.2785  3.4994    4
 74.703  1.2696   17.3  ( 2 2 0)  37.352  0.3938  4.9489    8
 90.702  1.0827   15.7  ( 3 1 1)  45.351  0.4618  5.8031   11
 95.986  1.0366    4.3  ( 2 2 2)  47.993  0.4823  6.0612   12
118.188  0.8978    1.9  ( 4 0 0)  59.094  0.5569  6.9988   16
138.455  0.8238    5.8  ( 3 3 1)  69.228  0.6069  7.6268   19
147.189  0.8030    5.5  ( 4 2 0)  73.594  0.6227  7.8249   20
